#group,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,long,long,long,long,long,long,double,string,double,string,long,string,string,long,long,long,long
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,pci,rnti,testbed,bsr,cqi,dl_brate,dl_bs,dl_mcs,dl_nof_nok,dl_nof_ok,pucch_snr_db,pucch_ta_ns,pusch_snr_db,pusch_ta_ns,ri,srs_ta_ns,ta_ns,ul_brate,ul_mcs,ul_nof_nok,ul_nof_ok
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:46.338Z,ue_info,1,4601,default,0,11,2432,0,18,0,4,2.275308,177.836100,32.796,170.898431,1,n/a,177.700059,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:47.338Z,ue_info,1,4601,default,0,9,4984,0,11,0,10,4.5794,192.321792,31.800669,147.332088,1,n/a,189.775179,13952,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:48.338Z,ue_info,1,4601,default,0,10,5504,0,14,0,12,3.939161,250.386535,31.705002,266.774492,1,n/a,251.016843,9088,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:49.338Z,ue_info,1,4601,default,0,11,2872,0,17,0,5,1.9143462,205.657983,32.498,134.785964,1,n/a,204.268332,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:50.338Z,ue_info,1,4601,default,0,10,4376,0,15,1,9,4.187782,217.102055,32.688,160.217283,1,n/a,215.986660,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:51.338Z,ue_info,1,4601,default,0,11,2280,0,16,0,4,2.5745194,197.713192,31.288002,149.027500,1,n/a,196.758577,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:52.338Z,ue_info,1,4601,default,0,11,4728,0,15,0,10,2.5227091,235.209157,31.958002,403.849270,1,n/a,238.515810,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:53.338Z,ue_info,1,4601,default,0,11,5152,0,16,0,10,2.778147,222.920704,30.480001,149.027500,1,n/a,221.471836,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:54.338Z,ue_info,1,4601,default,0,10,3648,0,14,0,8,3.6545372,238.037160,32.306,157.165530,1,n/a,236.451498,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:55.338Z,ue_info,1,4601,default,0,10,4824,0,14,0,11,2.408382,296.132441,32.088,129.191079,1,n/a,292.859085,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:56.338Z,ue_info,1,4601,default,0,10,6000,0,14,0,13,2.6118584,216.318753,31.710001,157.165530,1,n/a,215.158877,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:57.338Z,ue_info,1,4601,default,0,10,6352,0,14,0,14,2.4822283,243.723548,31.230001,407.918293,1,n/a,246.943046,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:58.338Z,ue_info,1,4601,default,0,9,5184,0,13,1,12,3.2554107,271.382646,31.474,409.952804,1,n/a,274.099705,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:59.338Z,ue_info,1,4601,default,0,9,2568,0,13,0,6,2.7099056,278.757682,30.498001,380.961097,1,n/a,280.761640,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:00.338Z,ue_info,1,4601,default,0,10,3432,0,13,0,8,2.3645928,228.983524,31.436,145.975747,1,n/a,227.355912,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:01.338Z,ue_info,1,4601,default,0,10,4376,0,15,0,9,3.203413,209.625242,32.668003,133.768722,1,n/a,208.137863,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:02.338Z,ue_info,1,4601,default,0,10,4824,3,15,0,10,2.7593274,226.725263,32.557003,264.994299,1,n/a,228.197166,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:04.338Z,ue_info,1,4601,default,0,10,1824,0,14,0,4,1.4717501,224.446637,32.252003,269.571927,1,n/a,226.182209,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:05.338Z,ue_info,1,4601,default,0,11,3648,0,14,0,8,2.330778,198.170994,32.261,135.294599,1,n/a,195.752662,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:06.338Z,ue_info,1,4601,default,0,10,4560,0,14,0,10,4.144826,228.688549,33.49,123.087560,1,n/a,226.617971,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:07.338Z,ue_info,1,4601,default,0,12,3024,0,18,0,5,1.6872573,219.217938,31.181002,249.989824,1,n/a,220.401461,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:08.338Z,ue_info,1,4601,default,0,9,3392,0,12,0,9,3.4416149,232.859293,29.715,114.949543,1,n/a,228.324325,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:09.338Z,ue_info,1,4601,default,0,9,4544,0,12,0,12,2.8523216,227.233897,29.264002,402.832029,1,n/a,230.676974,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:10.338Z,ue_info,1,4601,default,0,9,3968,0,12,0,10,2.187278,270.141641,29.475002,133.005770,1,n/a,264.867111,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:11.338Z,ue_info,1,4601,default,0,9,3576,0,14,0,8,4.0421667,201.141361,29.547,168.863934,1,n/a,199.899929,9728,27,0,2
