timestamp_unix,datetime_utc,labels,value
1774001130,2026-03-20T10:05:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001145,2026-03-20T10:05:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001160,2026-03-20T10:06:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001175,2026-03-20T10:06:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001190,2026-03-20T10:06:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001205,2026-03-20T10:06:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001220,2026-03-20T10:07:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001235,2026-03-20T10:07:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",14
1774001250,2026-03-20T10:07:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",14
1774001265,2026-03-20T10:07:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",14
